Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8930,F1 2012,PC,2012.0,Racing,Others,0.01,0.11,0.0,0.03,0.15
4791,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,0.32,0.04,0.01,0.04,0.4
15495,Commandos 3: Destination Berlin,PC,2003.0,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.02
14770,The Sims 2: Bon Voyage,PC,2007.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03
5213,Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,0.36
722,Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24
4920,Red Faction: Armageddon,X360,2011.0,Shooter,THQ,0.18,0.17,0.01,0.04,0.39
3109,Real Heroes: Firefighter,Wii,2009.0,Action,Others,0.56,0.04,0.0,0.05,0.65
7418,WinBack: Covert Operations,N64,1999.0,Shooter,Others,0.17,0.04,0.0,0.0,0.21
4449,Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005.0,Shooter,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44
2159,Mortal Kombat Trilogy,N64,1996.0,Fighting,Others,0.72,0.22,0.0,0.02,0.96
10764,Heatseeker,Wii,2007.0,Action,Others,0.08,0.0,0.0,0.01,0.1
12219,Parlor! Mini 2,SNES,1996.0,Misc,Others,0.0,0.0,0.07,0.0,0.07
3423,Madden NFL 06,X360,,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59
11600,Outlaw Tennis,PS2,2005.0,Sports,Others,0.04,0.03,0.0,0.01,0.08
6947,NASCAR 2011: The Game,Wii,2011.0,Racing,Activision,0.22,0.0,0.0,0.01,0.24
9615,Impossible Mission,DS,2007.0,Platform,Others,0.12,0.0,0.0,0.01,0.13
14481,Minna no Golf Jou Vol.1,PSP,2007.0,Sports,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
10392,Space Invaders,GBA,2002.0,Shooter,Activision,0.08,0.03,0.0,0.0,0.11
11300,S.C.A.R.S,PS,1998.0,Racing,Ubisoft,0.05,0.03,0.0,0.01,0.08
410,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
8217,Winning Eleven: Pro Evolution Soccer 2007,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
13019,SpongeBob: HeroPants,PSV,2015.0,Platform,Activision,0.03,0.01,0.0,0.01,0.05
328,Just Dance 2014,Wii,2013.0,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
3368,BeatMania Append 3rdMix,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6
12886,Defendin' De Penguin,Wii,2008.0,Strategy,Others,0.05,0.0,0.0,0.0,0.05
6371,Shin Megami Tensei: Devil Survivor,DS,2009.0,Role-Playing,Others,0.14,0.0,0.12,0.01,0.27
1210,Dead Rising 3,XOne,2013.0,Action,Others,1.06,0.35,0.01,0.12,1.54
13852,Blood Bowl,PC,2009.0,Sports,Others,0.01,0.02,0.0,0.01,0.04
1263,Sonic CD,Others,1993.0,Platform,Sega,1.0,0.36,0.09,0.05,1.5
14920,ZooCube,GC,2002.0,Puzzle,Others,0.02,0.0,0.0,0.0,0.02
425,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
5796,The King of Fighters XIII,PS3,2011.0,Fighting,Others,0.17,0.07,0.04,0.03,0.31
3709,LEGO Dimensions,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.15,0.3,0.0,0.09,0.54
14966,Carmen Sandiego: The Secret of the Stolen Drums,XB,2004.0,Action,Others,0.02,0.01,0.0,0.0,0.02
7537,Drift King Shutokou Battle '94,SNES,1994.0,Racing,Others,0.0,0.0,0.2,0.0,0.2
2360,Peppa Pig: The Game,DS,2008.0,Misc,Others,0.0,0.82,0.0,0.06,0.88
13188,BeatMania IIDX 4th Style: New Songs Collection,PS2,2001.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
